year,tfidf_cluster,n,n_year,share,cluster,pretty_label
2015,0,29043,83542,0.3476454956788202,0,"education, development, credit"
2015,1,11738,83542,0.1405041775394412,1,"aggregated, œuvrent, engagera"
2015,2,7,83542,8.379018936582797e-05,2,"administrative, operating, expenses"
2015,4,1083,83542,0.0129635392975988,4,"corps, peace, volunteer"
2015,5,1529,83542,0.0183021713629072,5,"scholarships, scholarship, students"
2015,6,1900,83542,0.0227430513992961,6,"staff, maintenance, such"
2015,8,960,83542,0.0114912259701706,8,"aids, hiv, prevention"
2015,9,2112,83542,0.0252806971343755,9,projet
2015,10,1880,83542,0.0225036508582509,10,"water, sanitation, supply"
2015,11,80,83542,0.0009576021641808,11,"narcotics, enforcement, law"
2015,12,4278,83542,0.0512077757295731,12,"rights, civil, society"
2015,13,4612,83542,0.0552057647650283,13,"development, sector, education"
2015,14,484,83542,0.0057934930932943,14,"humanitarian, volunteering, actions"
2015,15,4582,83542,0.0548466639534605,15,"health, services, maternal"
2015,16,17532,83542,0.2098585142802422,16,"development, will"
2015,17,1703,83542,0.0203849560700007,17,"assistance, humanitarian, emergency"
2015,18,19,83542,0.0002274305139929,18,"redacted, unspecified, information"
2016,0,28993,94024,0.3083574406534501,0,"education, development, credit"
2016,1,12239,94024,0.1301688930485833,1,"aggregated, œuvrent, engagera"
2016,2,1335,94024,0.0141985025099974,2,"administrative, operating, expenses"
2016,4,1109,94024,0.0117948608865821,4,"corps, peace, volunteer"
2016,5,2397,94024,0.0254934910235684,5,"scholarships, scholarship, students"
2016,6,3167,94024,0.0336828894750276,6,"staff, maintenance, such"
2016,8,947,94024,0.0100718965370543,8,"aids, hiv, prevention"
2016,9,3088,94024,0.0328426784650727,9,projet
2016,10,2057,94024,0.021877393006041,10,"water, sanitation, supply"
2016,11,59,94024,0.000627499361865,11,"narcotics, enforcement, law"
2016,12,4759,94024,0.0506147366629796,12,"rights, civil, society"
2016,13,5509,94024,0.058591423466349,13,"development, sector, education"
2016,14,1289,94024,0.0137092657193907,14,"humanitarian, volunteering, actions"
2016,15,5241,94024,0.055741087381945,15,"health, services, maternal"
2016,16,19352,94024,0.2058197906917382,16,"development, will"
2016,17,2472,94024,0.0262911597039053,17,"assistance, humanitarian, emergency"
2016,18,11,94024,0.0001169914064494,18,"redacted, unspecified, information"
2017,0,30313,96642,0.3136627967136441,0,"education, development, credit"
2017,1,11827,96642,0.1223795037354359,1,"aggregated, œuvrent, engagera"
2017,2,10,96642,0.0001034746797458,2,"administrative, operating, expenses"
2017,4,2006,96642,0.0207570207570207,4,"corps, peace, volunteer"
2017,5,2071,96642,0.0214296061753688,5,"scholarships, scholarship, students"
2017,6,2957,96642,0.0305974628008526,6,"staff, maintenance, such"
2017,8,591,96642,0.0061153535729806,8,"aids, hiv, prevention"
2017,9,4621,96642,0.0478156495105647,9,projet
2017,10,1562,96642,0.0161627449763042,10,"water, sanitation, supply"
2017,11,38,96642,0.0003932037830342,11,"narcotics, enforcement, law"
2017,12,4351,96642,0.0450218331574263,12,"rights, civil, society"
2017,13,2864,96642,0.029635148279216,13,"development, sector, education"
2017,14,346,96642,0.0035802239192069,14,"humanitarian, volunteering, actions"
2017,15,4444,96642,0.0459841476790629,15,"health, services, maternal"
2017,16,22097,96642,0.2286479998344405,16,"development, will"
2017,17,2166,96642,0.0224126156329546,17,"assistance, humanitarian, emergency"
2017,18,4378,96642,0.0453012147927402,18,"redacted, unspecified, information"
2018,0,36186,112494,0.3216704890927516,0,"education, development, credit"
2018,1,10704,112494,0.0951517414262094,1,"aggregated, œuvrent, engagera"
2018,2,10573,112494,0.0939872348747488,2,"administrative, operating, expenses"
2018,4,758,112494,0.0067381371450921,4,"corps, peace, volunteer"
2018,5,1934,112494,0.0171920280192721,5,"scholarships, scholarship, students"
2018,6,425,112494,0.0037779792700055,6,"staff, maintenance, such"
2018,8,714,112494,0.0063470051736092,8,"aids, hiv, prevention"
2018,9,3520,112494,0.0312905577186338,9,projet
2018,10,2089,112494,0.0185698792824506,10,"water, sanitation, supply"
2018,11,2,112494,1.7778725976496524e-05,11,"narcotics, enforcement, law"
2018,12,3444,112494,0.030614966131527,12,"rights, civil, society"
2018,13,5701,112494,0.0506782583960033,13,"development, sector, education"
2018,14,477,112494,0.0042402261453944,14,"humanitarian, volunteering, actions"
2018,15,6003,112494,0.0533628460184543,15,"health, services, maternal"
2018,16,20412,112494,0.1814496773161235,16,"development, will"
2018,17,1554,112494,0.0138140700837378,17,"assistance, humanitarian, emergency"
2018,18,5034,112494,0.0447490532828417,18,"redacted, unspecified, information"
2018,19,2964,112494,0.0263480718971678,19,"goods, maintanence, miscellaneous"
2019,0,25335,102144,0.248032189849624,0,"education, development, credit"
2019,1,11730,102144,0.1148378759398496,1,"aggregated, œuvrent, engagera"
2019,2,9223,102144,0.0902940946115288,2,"administrative, operating, expenses"
2019,3,33,102144,0.0003230733082706,3,"outlined, exceptions, accordance"
2019,4,1492,102144,0.0146068295739348,4,"corps, peace, volunteer"
2019,5,2871,102144,0.0281073778195488,5,"scholarships, scholarship, students"
2019,6,391,102144,0.0038279291979949,6,"staff, maintenance, such"
2019,7,23,102144,0.0002251723057644,7,"taxes, federal, contributions"
2019,8,422,102144,0.0041314223057644,8,"aids, hiv, prevention"
2019,9,2965,102144,0.0290276472431077,9,projet
2019,10,2072,102144,0.0202850877192982,10,"water, sanitation, supply"
2019,11,57,102144,0.0005580357142857,11,"narcotics, enforcement, law"
2019,12,3708,102144,0.0363016917293233,12,"rights, civil, society"
2019,13,5789,102144,0.0566748903508771,13,"development, sector, education"
2019,14,2337,102144,0.0228794642857142,14,"humanitarian, volunteering, actions"
2019,15,5169,102144,0.0506050281954887,15,"health, services, maternal"
2019,16,21559,102144,0.2110647713032581,16,"development, will"
2019,17,2087,102144,0.0204319392230576,17,"assistance, humanitarian, emergency"
2019,18,2259,102144,0.0221158364661654,18,"redacted, unspecified, information"
2019,19,2622,102144,0.0256696428571428,19,"goods, maintanence, miscellaneous"
2020,0,25350,104387,0.2428463314397386,0,"education, development, credit"
2020,1,11457,104387,0.1097550461264333,1,"aggregated, œuvrent, engagera"
2020,2,4090,104387,0.0391811240863325,2,"administrative, operating, expenses"
2020,3,5046,104387,0.0483393526013775,3,"outlined, exceptions, accordance"
2020,4,1116,104387,0.0106909864255127,4,"corps, peace, volunteer"
2020,5,3906,104387,0.0374184524892946,5,"scholarships, scholarship, students"
2020,6,406,104387,0.0038893731978119,6,"staff, maintenance, such"
2020,7,35,104387,0.0003352907929148,7,"taxes, federal, contributions"
2020,8,625,104387,0.0059873355877647,8,"aids, hiv, prevention"
2020,9,1454,104387,0.0139289375113759,9,projet
2020,10,2003,104387,0.0191882130916685,10,"water, sanitation, supply"
2020,11,113,104387,0.0010825102742678,11,"narcotics, enforcement, law"
2020,12,3138,104387,0.0300612145190493,12,"rights, civil, society"
2020,13,7210,104387,0.0690699033404542,13,"development, sector, education"
2020,14,1949,104387,0.0186709072968856,14,"humanitarian, volunteering, actions"
2020,15,5354,104387,0.051289911579028,15,"health, services, maternal"
2020,16,24925,104387,0.2387749432400586,16,"development, will"
2020,17,1915,104387,0.0183451962409112,17,"assistance, humanitarian, emergency"
2020,18,2744,104387,0.0262867981645224,18,"redacted, unspecified, information"
2020,19,1551,104387,0.014858171994597,19,"goods, maintanence, miscellaneous"
2021,0,27023,163394,0.1653855098718435,0,"education, development, credit"
2021,1,12907,163394,0.0789931086820813,1,"aggregated, œuvrent, engagera"
2021,2,4101,163394,0.0250988408387088,2,"administrative, operating, expenses"
2021,3,4721,163394,0.0288933498170067,3,"outlined, exceptions, accordance"
2021,4,1055,163394,0.0064567854388778,4,"corps, peace, volunteer"
2021,5,2008,163394,0.0122893129490678,5,"scholarships, scholarship, students"
2021,6,382,163394,0.0023379071446931,6,"staff, maintenance, such"
2021,7,3711,163394,0.0227119722878441,7,"taxes, federal, contributions"
2021,8,2457,163394,0.0150372718704481,8,"aids, hiv, prevention"
2021,9,1534,163394,0.0093883496334014,9,projet
2021,10,1638,163394,0.010024847913632,10,"water, sanitation, supply"
2021,11,55724,163394,0.341040674688177,11,"narcotics, enforcement, law"
2021,12,4029,163394,0.0246581881831646,12,"rights, civil, society"
2021,13,8175,163394,0.0500324369315886,13,"development, sector, education"
2021,14,1094,163394,0.0066954722939642,14,"humanitarian, volunteering, actions"
2021,15,5008,163394,0.0306498402634123,15,"health, services, maternal"
2021,16,23783,163394,0.1455561403723514,16,"development, will"
2021,17,2146,163394,0.0131338972055277,17,"assistance, humanitarian, emergency"
2021,18,522,163394,0.0031947317526959,18,"redacted, unspecified, information"
2021,19,1376,163394,0.0084213618615126,19,"goods, maintanence, miscellaneous"
2022,0,33666,120495,0.279397485372837,0,"education, development, credit"
2022,1,12586,120495,0.1044524669073405,1,"aggregated, œuvrent, engagera"
2022,2,4723,120495,0.0391966471637827,2,"administrative, operating, expenses"
2022,3,4772,120495,0.0396033030416199,3,"outlined, exceptions, accordance"
2022,4,1237,120495,0.0102659861405037,4,"corps, peace, volunteer"
2022,5,3071,120495,0.0254865347109838,5,"scholarships, scholarship, students"
2022,6,438,120495,0.0036350056018921,6,"staff, maintenance, such"
2022,7,955,120495,0.0079256400680526,7,"taxes, federal, contributions"
2022,8,1038,120495,0.0086144653305116,8,"aids, hiv, prevention"
2022,9,2419,120495,0.020075521805884,9,projet
2022,10,2091,120495,0.0173534171542387,10,"water, sanitation, supply"
2022,11,24,120495,0.0001991783891447,11,"narcotics, enforcement, law"
2022,12,3699,120495,0.0306983692269388,12,"rights, civil, society"
2022,13,8962,120495,0.0743765301464791,13,"development, sector, education"
2022,14,1622,120495,0.0134611394663679,14,"humanitarian, volunteering, actions"
2022,15,6128,120495,0.0508568820282999,15,"health, services, maternal"
2022,16,25302,120495,0.2099838167558819,16,"development, will"
2022,17,3074,120495,0.0255114320096269,17,"assistance, humanitarian, emergency"
2022,18,2893,120495,0.0240092949914934,18,"redacted, unspecified, information"
2022,19,1795,120495,0.0148968836881198,19,"goods, maintanence, miscellaneous"
2023,0,40786,167494,0.2435072301097352,0,"education, development, credit"
2023,1,13379,167494,0.0798774881488292,1,"aggregated, œuvrent, engagera"
2023,2,5368,167494,0.0320489092146584,2,"administrative, operating, expenses"
2023,3,5152,167494,0.0307593107812817,3,"outlined, exceptions, accordance"
2023,4,2311,167494,0.0137975091645073,4,"corps, peace, volunteer"
2023,5,3404,167494,0.0203231160519182,5,"scholarships, scholarship, students"
2023,6,436,167494,0.0026030783192233,6,"staff, maintenance, such"
2023,8,956,167494,0.0057076671403154,8,"aids, hiv, prevention"
2023,9,16041,167494,0.0957705947675737,9,projet
2023,10,3345,167494,0.0199708646279866,10,"water, sanitation, supply"
