activity_id,donor_name,recipient_name,text_preview
2018016682A,United States,Angola,"USAID Miscellaneous Goods, Services, and Operations Maintanence USAID MISCELLANEOUS GOODS, SERVICES, AND OPERATIONS MAINTANENCE Administrative costs and operating expenses of USAID contributing to Miscellaneous Goods, Services, and Operations Maintanence"
2018016682B,United States,Angola,"USAID Miscellaneous Goods, Services, and Operations Maintanence USAID MISCELLANEOUS GOODS, SERVICES, AND OPERATIONS MAINTANENCE Administrative costs and operating expenses of USAID contributing to Miscellaneous Goods, Services, and Operations Maintanence"
2018016682C,United States,Angola,"USAID Miscellaneous Goods, Services, and Operations Maintanence USAID MISCELLANEOUS GOODS, SERVICES, AND OPERATIONS MAINTANENCE Administrative costs and operating expenses of USAID contributing to Miscellaneous Goods, Services, and Operations Maintanence"
2018016682D,United States,Angola,"USAID Miscellaneous Goods, Services, and Operations Maintanence USAID MISCELLANEOUS GOODS, SERVICES, AND OPERATIONS MAINTANENCE Administrative costs and operating expenses of USAID contributing to Miscellaneous Goods, Services, and Operations Maintanence"
2018016683A,United States,Bangladesh,"USAID Miscellaneous Goods, Services, and Operations Maintanence USAID MISCELLANEOUS GOODS, SERVICES, AND OPERATIONS MAINTANENCE Administrative costs and operating expenses of USAID contributing to Miscellaneous Goods, Services, and Operations Maintanence"
2018016683B,United States,Bangladesh,"USAID Miscellaneous Goods, Services, and Operations Maintanence USAID MISCELLANEOUS GOODS, SERVICES, AND OPERATIONS MAINTANENCE Administrative costs and operating expenses of USAID contributing to Miscellaneous Goods, Services, and Operations Maintanence"
2018016683C,United States,Bangladesh,"USAID Miscellaneous Goods, Services, and Operations Maintanence USAID MISCELLANEOUS GOODS, SERVICES, AND OPERATIONS MAINTANENCE Administrative costs and operating expenses of USAID contributing to Miscellaneous Goods, Services, and Operations Maintanence"
2018016683D,United States,Bangladesh,"USAID Miscellaneous Goods, Services, and Operations Maintanence USAID MISCELLANEOUS GOODS, SERVICES, AND OPERATIONS MAINTANENCE Administrative costs and operating expenses of USAID contributing to Miscellaneous Goods, Services, and Operations Maintanence"
2018016683E,United States,Bangladesh,"USAID Miscellaneous Goods, Services, and Operations Maintanence USAID MISCELLANEOUS GOODS, SERVICES, AND OPERATIONS MAINTANENCE Administrative costs and operating expenses of USAID contributing to Miscellaneous Goods, Services, and Operations Maintanence"
2018016683F,United States,Bangladesh,"USAID Miscellaneous Goods, Services, and Operations Maintanence USAID MISCELLANEOUS GOODS, SERVICES, AND OPERATIONS MAINTANENCE Administrative costs and operating expenses of USAID contributing to Miscellaneous Goods, Services, and Operations Maintanence"
2018016683G,United States,Bangladesh,"USAID Miscellaneous Goods, Services, and Operations Maintanence USAID MISCELLANEOUS GOODS, SERVICES, AND OPERATIONS MAINTANENCE Administrative costs and operating expenses of USAID contributing to Miscellaneous Goods, Services, and Operations Maintanence"
2018016683H,United States,Bangladesh,"USAID Miscellaneous Goods, Services, and Operations Maintanence USAID MISCELLANEOUS GOODS, SERVICES, AND OPERATIONS MAINTANENCE Administrative costs and operating expenses of USAID contributing to Miscellaneous Goods, Services, and Operations Maintanence"
2018016683I,United States,Bangladesh,"USAID Miscellaneous Goods, Services, and Operations Maintanence USAID MISCELLANEOUS GOODS, SERVICES, AND OPERATIONS MAINTANENCE Administrative costs and operating expenses of USAID contributing to Miscellaneous Goods, Services, and Operations Maintanence"
2018016684A,United States,Myanmar,"USAID Miscellaneous Goods, Services, and Operations Maintanence USAID MISCELLANEOUS GOODS, SERVICES, AND OPERATIONS MAINTANENCE Administrative costs and operating expenses of USAID contributing to Miscellaneous Goods, Services, and Operations Maintanence"
2018016684B,United States,Myanmar,"USAID Miscellaneous Goods, Services, and Operations Maintanence USAID MISCELLANEOUS GOODS, SERVICES, AND OPERATIONS MAINTANENCE Administrative costs and operating expenses of USAID contributing to Miscellaneous Goods, Services, and Operations Maintanence"
2018016685,United States,Burundi,"USAID Miscellaneous Goods, Services, and Operations Maintanence USAID MISCELLANEOUS GOODS, SERVICES, AND OPERATIONS MAINTANENCE Administrative costs and operating expenses of USAID contributing to Miscellaneous Goods, Services, and Operations Maintanence"
2018016686A,United States,Belarus,"USAID Miscellaneous Goods, Services, and Operations Maintanence USAID MISCELLANEOUS GOODS, SERVICES, AND OPERATIONS MAINTANENCE Administrative costs and operating expenses of USAID contributing to Miscellaneous Goods, Services, and Operations Maintanence"
2018016686B,United States,Belarus,"USAID Miscellaneous Goods, Services, and Operations Maintanence USAID MISCELLANEOUS GOODS, SERVICES, AND OPERATIONS MAINTANENCE Administrative costs and operating expenses of USAID contributing to Miscellaneous Goods, Services, and Operations Maintanence"
2018016687,United States,Cambodia,"USAID Miscellaneous Goods, Services, and Operations Maintanence USAID MISCELLANEOUS GOODS, SERVICES, AND OPERATIONS MAINTANENCE Administrative costs and operating expenses of USAID contributing to Miscellaneous Goods, Services, and Operations Maintanence"
2018016688,United States,Cameroon,"USAID Miscellaneous Goods, Services, and Operations Maintanence USAID MISCELLANEOUS GOODS, SERVICES, AND OPERATIONS MAINTANENCE Administrative costs and operating expenses of USAID contributing to Miscellaneous Goods, Services, and Operations Maintanence"
2018016689A,United States,Democratic Republic of the Congo,"USAID Miscellaneous Goods, Services, and Operations Maintanence USAID MISCELLANEOUS GOODS, SERVICES, AND OPERATIONS MAINTANENCE Administrative costs and operating expenses of USAID contributing to Miscellaneous Goods, Services, and Operations Maintanence"
2018016689B,United States,Democratic Republic of the Congo,"USAID Miscellaneous Goods, Services, and Operations Maintanence USAID MISCELLANEOUS GOODS, SERVICES, AND OPERATIONS MAINTANENCE Administrative costs and operating expenses of USAID contributing to Miscellaneous Goods, Services, and Operations Maintanence"
2018016689C,United States,Democratic Republic of the Congo,"USAID Miscellaneous Goods, Services, and Operations Maintanence USAID MISCELLANEOUS GOODS, SERVICES, AND OPERATIONS MAINTANENCE Administrative costs and operating expenses of USAID contributing to Miscellaneous Goods, Services, and Operations Maintanence"
2018016689D,United States,Democratic Republic of the Congo,"USAID Miscellaneous Goods, Services, and Operations Maintanence USAID MISCELLANEOUS GOODS, SERVICES, AND OPERATIONS MAINTANENCE Administrative costs and operating expenses of USAID contributing to Miscellaneous Goods, Services, and Operations Maintanence"
