activity_id,donor_name,recipient_name,text_preview
2015007627,United States,India,Administration and Oversight (Infrastructure) - Administration and Oversight (Infrastructure) ADMINISTRATION AND OVERSIGHT (INFRASTRUCTURE) - ADMINISTRATION AND OVERSIGHT (INFRASTRUCTURE) Administration and Oversight (Infrastructure) - Supports the following i
2015007738,United States,Benin,"Basic Education - Administration and Oversight (Basic Ed) BASIC EDUCATION - ADMINISTRATION AND OVERSIGHT (BASIC ED) Basic Education - Supports the following illustrative program-funded costs: salaries of US, FSN, and TCN and other staff such as PSCs, RSSAs, PA"
2015007739,United States,Nigeria,"Basic Education - Administration and Oversight (Basic Ed) BASIC EDUCATION - ADMINISTRATION AND OVERSIGHT (BASIC ED) Basic Education - Supports the following illustrative program-funded costs: salaries of US, FSN, and TCN and other staff such as PSCs, RSSAs, PA"
2015007739tjp,United States,India,"Basic Education - Administration and Oversight (Basic Ed) BASIC EDUCATION - ADMINISTRATION AND OVERSIGHT (BASIC ED) Basic Education - Supports the following illustrative program-funded costs: salaries of US, FSN, and TCN and other staff such as PSCs, RSSAs, PA"
2015007740,United States,Malawi,"Basic Education - Administration and Oversight (Basic Ed) BASIC EDUCATION - ADMINISTRATION AND OVERSIGHT (BASIC ED) Basic Education - Supports the following illustrative program-funded costs: salaries of US, FSN, and TCN and other staff such as PSCs, RSSAs, PA"
2015007740xza,United States,Jamaica,"Basic Education - Administration and Oversight (Basic Ed) BASIC EDUCATION - ADMINISTRATION AND OVERSIGHT (BASIC ED) Basic Education - Supports the following illustrative program-funded costs: salaries of US, FSN, and TCN and other staff such as PSCs, RSSAs, PA"
2015007741,United States,Jamaica,"Basic Education - Administration and Oversight (Basic Ed) BASIC EDUCATION - ADMINISTRATION AND OVERSIGHT (BASIC ED) Basic Education - Supports the following illustrative program-funded costs: salaries of US, FSN, and TCN and other staff such as PSCs, RSSAs, PA"
2015008037,United States,Madagascar,Family Planning and Reproductive Health - Administration and Oversight (FP) FAMILY PLANNING AND REPRODUCTIVE HEALTH - ADMINISTRATION AND OVERSIGHT (FP) Family Planning and Reproductive Health - Supports the following illustrative program-funded costs: salaries
2015008038,United States,Nigeria,Family Planning and Reproductive Health - Administration and Oversight (FP) FAMILY PLANNING AND REPRODUCTIVE HEALTH - ADMINISTRATION AND OVERSIGHT (FP) Family Planning and Reproductive Health - Supports the following illustrative program-funded costs: salaries
2015008038spe,United States,Dominican Republic,Family Planning and Reproductive Health - Administration and Oversight (FP) FAMILY PLANNING AND REPRODUCTIVE HEALTH - ADMINISTRATION AND OVERSIGHT (FP) Family Planning and Reproductive Health - Supports the following illustrative program-funded costs: salaries
2015008107,United States,Madagascar,"HIV/AIDS - Administration and Oversight (HIV) HIV/AIDS - ADMINISTRATION AND OVERSIGHT (HIV) HIV/AIDS - Supports the following illustrative program-funded costs: salaries of US, FSN, and TCN and other staff such as PSCs, RSSAs, PASAs, CASUs working for the US G"
