activity_id,donor_name,recipient_name,text_preview
2015004137acv,United States,Thailand,"U.S. Peace Corps Direct Volunteer Support U.S. PEACE CORPS DIRECT VOLUNTEER SUPPORT All costs incurred for direct support of Volunteers, including allowances, travel, supplies and equipment. Excludes costs for training or medical support costs."
2015004137ade,United States,Lesotho,"U.S. Peace Corps Direct Volunteer Support U.S. PEACE CORPS DIRECT VOLUNTEER SUPPORT All costs incurred for direct support of Volunteers, including allowances, travel, supplies and equipment. Excludes costs for training or medical support costs."
2015004137cjo,United States,Dominican Republic,"U.S. Peace Corps Direct Volunteer Support U.S. PEACE CORPS DIRECT VOLUNTEER SUPPORT All costs incurred for direct support of Volunteers, including allowances, travel, supplies and equipment. Excludes costs for training or medical support costs."
2015004137dgy,United States,Namibia,"U.S. Peace Corps Direct Volunteer Support U.S. PEACE CORPS DIRECT VOLUNTEER SUPPORT All costs incurred for direct support of Volunteers, including allowances, travel, supplies and equipment. Excludes costs for training or medical support costs."
2015004137fob,United States,Eswatini,"U.S. Peace Corps Direct Volunteer Support U.S. PEACE CORPS DIRECT VOLUNTEER SUPPORT All costs incurred for direct support of Volunteers, including allowances, travel, supplies and equipment. Excludes costs for training or medical support costs."
2015004137gaa,United States,El Salvador,"U.S. Peace Corps Direct Volunteer Support U.S. PEACE CORPS DIRECT VOLUNTEER SUPPORT All costs incurred for direct support of Volunteers, including allowances, travel, supplies and equipment. Excludes costs for training or medical support costs."
2015004137gwu,United States,Kyrgyzstan,"U.S. Peace Corps Direct Volunteer Support U.S. PEACE CORPS DIRECT VOLUNTEER SUPPORT All costs incurred for direct support of Volunteers, including allowances, travel, supplies and equipment. Excludes costs for training or medical support costs."
2015004137hbm,United States,Zambia,"U.S. Peace Corps Direct Volunteer Support U.S. PEACE CORPS DIRECT VOLUNTEER SUPPORT All costs incurred for direct support of Volunteers, including allowances, travel, supplies and equipment. Excludes costs for training or medical support costs."
2015004137hfc,United States,Jamaica,"U.S. Peace Corps Direct Volunteer Support U.S. PEACE CORPS DIRECT VOLUNTEER SUPPORT All costs incurred for direct support of Volunteers, including allowances, travel, supplies and equipment. Excludes costs for training or medical support costs."
2015004137jef,United States,Tanzania,"U.S. Peace Corps Direct Volunteer Support U.S. PEACE CORPS DIRECT VOLUNTEER SUPPORT All costs incurred for direct support of Volunteers, including allowances, travel, supplies and equipment. Excludes costs for training or medical support costs."
2015004137kqn,United States,Ethiopia,"U.S. Peace Corps Direct Volunteer Support U.S. PEACE CORPS DIRECT VOLUNTEER SUPPORT All costs incurred for direct support of Volunteers, including allowances, travel, supplies and equipment. Excludes costs for training or medical support costs."
2015004137kvn,United States,Nicaragua,"U.S. Peace Corps Direct Volunteer Support U.S. PEACE CORPS DIRECT VOLUNTEER SUPPORT All costs incurred for direct support of Volunteers, including allowances, travel, supplies and equipment. Excludes costs for training or medical support costs."
2015004137kww,United States,South Africa,"U.S. Peace Corps Direct Volunteer Support U.S. PEACE CORPS DIRECT VOLUNTEER SUPPORT All costs incurred for direct support of Volunteers, including allowances, travel, supplies and equipment. Excludes costs for training or medical support costs."
2015004137lxg,United States,Belize,"U.S. Peace Corps Direct Volunteer Support U.S. PEACE CORPS DIRECT VOLUNTEER SUPPORT All costs incurred for direct support of Volunteers, including allowances, travel, supplies and equipment. Excludes costs for training or medical support costs."
2015004137ncr,United States,Uganda,"U.S. Peace Corps Direct Volunteer Support U.S. PEACE CORPS DIRECT VOLUNTEER SUPPORT All costs incurred for direct support of Volunteers, including allowances, travel, supplies and equipment. Excludes costs for training or medical support costs."
2015004137nzr,United States,Ghana,"U.S. Peace Corps Direct Volunteer Support U.S. PEACE CORPS DIRECT VOLUNTEER SUPPORT All costs incurred for direct support of Volunteers, including allowances, travel, supplies and equipment. Excludes costs for training or medical support costs."
2015004137pab,United States,Guyana,"U.S. Peace Corps Direct Volunteer Support U.S. PEACE CORPS DIRECT VOLUNTEER SUPPORT All costs incurred for direct support of Volunteers, including allowances, travel, supplies and equipment. Excludes costs for training or medical support costs."
2015004137pbk,United States,Cameroon,"U.S. Peace Corps Direct Volunteer Support U.S. PEACE CORPS DIRECT VOLUNTEER SUPPORT All costs incurred for direct support of Volunteers, including allowances, travel, supplies and equipment. Excludes costs for training or medical support costs."
2015004137rge,United States,Rwanda,"U.S. Peace Corps Direct Volunteer Support U.S. PEACE CORPS DIRECT VOLUNTEER SUPPORT All costs incurred for direct support of Volunteers, including allowances, travel, supplies and equipment. Excludes costs for training or medical support costs."
