activity_id,donor_name,recipient_name,text_preview
2019010444A,United States,Belarus,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016. USAID REDACTED THIS FIELD IN ACCORDANCE WITH THE EXCEPTIONS OUTLINED IN THE FOREIGN AID TRANSPARENCY AND ACCOUNTABILITY ACT OF 
2019010444B,United States,Belarus,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016. USAID REDACTED THIS FIELD IN ACCORDANCE WITH THE EXCEPTIONS OUTLINED IN THE FOREIGN AID TRANSPARENCY AND ACCOUNTABILITY ACT OF 
2019010444C,United States,Belarus,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016. USAID REDACTED THIS FIELD IN ACCORDANCE WITH THE EXCEPTIONS OUTLINED IN THE FOREIGN AID TRANSPARENCY AND ACCOUNTABILITY ACT OF 
2019010444D,United States,Belarus,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016. USAID REDACTED THIS FIELD IN ACCORDANCE WITH THE EXCEPTIONS OUTLINED IN THE FOREIGN AID TRANSPARENCY AND ACCOUNTABILITY ACT OF 
2019010444E,United States,Belarus,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016. USAID REDACTED THIS FIELD IN ACCORDANCE WITH THE EXCEPTIONS OUTLINED IN THE FOREIGN AID TRANSPARENCY AND ACCOUNTABILITY ACT OF 
2019010444F,United States,Belarus,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016. USAID REDACTED THIS FIELD IN ACCORDANCE WITH THE EXCEPTIONS OUTLINED IN THE FOREIGN AID TRANSPARENCY AND ACCOUNTABILITY ACT OF 
2019010606A,United States,Belarus,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016. USAID REDACTED THIS FIELD IN ACCORDANCE WITH THE EXCEPTIONS OUTLINED IN THE FOREIGN AID TRANSPARENCY AND ACCOUNTABILITY ACT OF 
2019010606B,United States,Belarus,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016. USAID REDACTED THIS FIELD IN ACCORDANCE WITH THE EXCEPTIONS OUTLINED IN THE FOREIGN AID TRANSPARENCY AND ACCOUNTABILITY ACT OF 
2019010764,United States,Zimbabwe,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016. USAID REDACTED THIS FIELD IN ACCORDANCE WITH THE EXCEPTIONS OUTLINED IN THE FOREIGN AID TRANSPARENCY AND ACCOUNTABILITY ACT OF 
2019011019,United States,Zimbabwe,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016. USAID REDACTED THIS FIELD IN ACCORDANCE WITH THE EXCEPTIONS OUTLINED IN THE FOREIGN AID TRANSPARENCY AND ACCOUNTABILITY ACT OF 
2019016576,United States,Belarus,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016. USAID REDACTED THIS FIELD IN ACCORDANCE WITH THE EXCEPTIONS OUTLINED IN THE FOREIGN AID TRANSPARENCY AND ACCOUNTABILITY ACT OF 
2019018092A,United States,Zimbabwe,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016. USAID REDACTED THIS FIELD IN ACCORDANCE WITH THE EXCEPTIONS OUTLINED IN THE FOREIGN AID TRANSPARENCY AND ACCOUNTABILITY ACT OF 
2019018092B,United States,Zimbabwe,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016. USAID REDACTED THIS FIELD IN ACCORDANCE WITH THE EXCEPTIONS OUTLINED IN THE FOREIGN AID TRANSPARENCY AND ACCOUNTABILITY ACT OF 
2019018346A,United States,Nicaragua,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016. USAID REDACTED THIS FIELD IN ACCORDANCE WITH THE EXCEPTIONS OUTLINED IN THE FOREIGN AID TRANSPARENCY AND ACCOUNTABILITY ACT OF 
2019018346B,United States,Nicaragua,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016. USAID REDACTED THIS FIELD IN ACCORDANCE WITH THE EXCEPTIONS OUTLINED IN THE FOREIGN AID TRANSPARENCY AND ACCOUNTABILITY ACT OF 
2019018346C,United States,Nicaragua,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016. USAID REDACTED THIS FIELD IN ACCORDANCE WITH THE EXCEPTIONS OUTLINED IN THE FOREIGN AID TRANSPARENCY AND ACCOUNTABILITY ACT OF 
2019018948A,United States,"Europe, regional",USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016. USAID REDACTED THIS FIELD IN ACCORDANCE WITH THE EXCEPTIONS OUTLINED IN THE FOREIGN AID TRANSPARENCY AND ACCOUNTABILITY ACT OF 
2019018948B,United States,"Europe, regional",USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016. USAID REDACTED THIS FIELD IN ACCORDANCE WITH THE EXCEPTIONS OUTLINED IN THE FOREIGN AID TRANSPARENCY AND ACCOUNTABILITY ACT OF 
2019018948C,United States,"Europe, regional",USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016. USAID REDACTED THIS FIELD IN ACCORDANCE WITH THE EXCEPTIONS OUTLINED IN THE FOREIGN AID TRANSPARENCY AND ACCOUNTABILITY ACT OF 
2019019698A,United States,Zimbabwe,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016. USAID REDACTED THIS FIELD IN ACCORDANCE WITH THE EXCEPTIONS OUTLINED IN THE FOREIGN AID TRANSPARENCY AND ACCOUNTABILITY ACT OF 
2019019698B,United States,Zimbabwe,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016. USAID REDACTED THIS FIELD IN ACCORDANCE WITH THE EXCEPTIONS OUTLINED IN THE FOREIGN AID TRANSPARENCY AND ACCOUNTABILITY ACT OF 
2019019698C,United States,Zimbabwe,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016. USAID REDACTED THIS FIELD IN ACCORDANCE WITH THE EXCEPTIONS OUTLINED IN THE FOREIGN AID TRANSPARENCY AND ACCOUNTABILITY ACT OF 
